#Experiment,SEP Date,Exception
GOES-11,2010-08-03 00:00:00, Success
GOES-11,2010-08-05 00:00:00, Success
GOES-11,2010-08-14 00:00:00, Success
GOES-11,2010-08-16 00:00:00, Success
GOES-11,2010-08-18 00:00:00, Success
GOES-11,2010-08-20 00:00:00, Success
GOES-13,2011-01-28 00:00:00, Success
GOES-13,2011-01-29 00:00:00, Success
GOES-13,2011-02-15 00:00:00, Success
GOES-13,2011-02-16 00:00:00, Success
GOES-13,2011-03-08 00:00:00, Success
GOES-13,2011-03-13 00:00:00, Success
GOES-13,2011-03-21 00:00:00, Success
GOES-13,2011-03-24 00:00:00, Success
GOES-13,2011-06-06 00:00:00, Success
GOES-13,2011-06-07 00:00:00, Success
GOES-13,2011-06-19 00:00:00, Success
GOES-13,2011-08-04 00:00:00, Success
GOES-13,2011-08-09 00:00:00, Success
GOES-13,2011-08-12 00:00:00, Success
GOES-13,2011-09-07 00:00:00, Success
GOES-13,2011-09-10 00:00:00, Success
GOES-13,2011-09-23 00:00:00, Success
GOES-13,2011-10-01 00:00:00, Success
GOES-13,2011-10-23 00:00:00, Success
GOES-13,2011-10-26 00:00:00, Success
GOES-13,2011-11-04 00:00:00, Success
GOES-13,2011-11-07 00:00:00, Success
GOES-13,2011-11-26 00:00:00, Success
GOES-13,2011-11-30 00:00:00, Success
GOES-13,2011-12-25 00:00:00, Success
GOES-13,2011-12-27 00:00:00, Success
GOES-13,2012-01-02 00:00:00, Success
GOES-13,2012-01-03 00:00:00, Success
GOES-13,2012-01-23 00:00:00, Success
GOES-13,2012-01-27 00:00:00, Success
GOES-13,2012-02-06 00:00:00, Success
GOES-13,2012-02-25 00:00:00, Success
GOES-13,2012-02-27 00:00:00, Success
GOES-13,2012-03-07 00:00:00, Success
GOES-13,2012-03-13 00:00:00, Success
GOES-13,2012-03-19 00:00:00, Success
GOES-13,2012-03-30 00:00:00, Success
GOES-13,2012-04-03 00:00:00, Success
GOES-13,2012-05-17 00:00:00, Success
GOES-13,2012-05-22 00:00:00, Success
GOES-13,2012-05-27 00:00:00, Success
GOES-13,2012-05-30 00:00:00, Success
GOES-13,2012-06-16 00:00:00, Success
GOES-13,2012-06-18 00:00:00, Success
GOES-13,2012-07-07 00:00:00, Success
GOES-13,2012-07-09 00:00:00, Success
GOES-13,2012-07-12 00:00:00, Success
GOES-13,2012-07-12 00:00:00, Success
GOES-13,2012-07-17 00:00:00, Success
GOES-13,2012-07-19 00:00:00, Success
GOES-13,2012-08-04 00:00:00, Success
GOES-13,2012-09-01 00:00:00, Success
GOES-13,2012-09-10 00:00:00, Success
GOES-13,2012-09-28 00:00:00, Success
GOES-13,2012-10-01 00:00:00, Success
GOES-13,2012-11-08 00:00:00, Success
GOES-13,2012-11-12 00:00:00, Success
GOES-13,2012-12-14 00:00:00, Success
GOES-13,2012-12-17 00:00:00, Success
GOES-13,2013-01-17 00:00:00, Success
GOES-13,2013-01-19 00:00:00, Success
GOES-13,2013-02-27 00:00:00, Success
GOES-13,2013-03-01 00:00:00, Success
GOES-13,2013-03-16 00:00:00, Success
GOES-13,2013-03-18 00:00:00, Success
GOES-13,2013-04-11 00:00:00, Success
GOES-13,2013-04-19 00:00:00, Success
GOES-13,2013-04-21 00:00:00, Success
GOES-13,2013-04-24 00:00:00, Success
GOES-13,2013-04-26 07:05:00,"Cannot access orientation file at https://satdat.ngdc.noaa.gov/sem/goes/data/avg/2013/05/goes13/csv/g13_epead_orientation_flag_1m_20130501_20130531_v1.0.0.csv. Please check that selected spacecraft covers date range."
GOES-15,2013-05-15 00:00:00, Success
GOES-15,2013-05-22 00:00:00, Success
GOES-15,2013-05-27 00:00:00, Success
GOES-13,2013-06-21 00:00:00, Success
GOES-13,2013-06-23 00:00:00, Success
GOES-13,2013-06-28 00:00:00, Success
GOES-13,2013-08-17 00:00:00, Success
GOES-13,2013-08-19 00:00:00, Success
GOES-13,2013-08-20 00:00:00, Success
GOES-13,2013-08-23 00:00:00, Success
GOES-13,2013-09-30 00:00:00, Success
GOES-13,2013-10-08 00:00:00, Success
GOES-13,2013-10-23 00:00:00, Success
GOES-13,2013-10-24 00:00:00, Success
GOES-13,2013-10-26 00:00:00, Success
GOES-13,2013-11-02 00:00:00, Success
GOES-13,2013-11-06 00:00:00, Success
GOES-13,2013-11-13 00:00:00, Success
GOES-13,2013-11-19 00:00:00, Success
GOES-13,2013-11-21 00:00:00, Success
GOES-13,2013-12-14 00:00:00, Success
GOES-13,2013-12-15 00:00:00, Success
GOES-13,2013-12-26 00:00:00, Success
GOES-13,2013-12-28 00:00:00, Success
GOES-13,2014-01-02 00:00:00, Success
GOES-13,2014-01-06 00:00:00, Success
GOES-13,2014-01-07 00:00:00, Success
GOES-13,2014-01-16 00:00:00, Success
GOES-13,2014-02-18 00:00:00, Success
GOES-13,2014-02-20 00:00:00, Success
GOES-13,2014-02-22 00:00:00, Success
GOES-13,2014-02-25 00:00:00, Success
GOES-13,2014-03-10 00:00:00, Success
GOES-13,2014-03-25 00:00:00, Success
GOES-13,2014-03-26 00:00:00, Success
GOES-13,2014-03-29 00:00:00, Success
GOES-13,2014-03-31 00:00:00, Success
GOES-13,2014-04-05 00:00:00, Success
GOES-13,2014-04-10 00:00:00, Success
GOES-13,2014-04-18 00:00:00, Success
GOES-13,2014-04-22 00:00:00, Success
GOES-13,2014-05-08 00:00:00, Success
GOES-13,2014-05-11 00:00:00, Success
GOES-13,2014-06-13 00:00:00, Success
GOES-13,2014-06-15 00:00:00, Success
GOES-13,2014-08-25 00:00:00, Success
GOES-13,2014-08-27 00:00:00, Success
GOES-13,2014-09-02 00:00:00, Success
GOES-13,2014-09-11 00:00:00, Success
GOES-13,2014-09-17 00:00:00, Success
GOES-13,2014-09-22 00:00:00, Success
GOES-13,2014-09-23 00:00:00, Success
GOES-13,2014-11-01 00:00:00, Success
GOES-15,2014-11-05 00:00:00, Success
GOES-15,2014-12-14 00:00:00, Success
GOES-15,2014-12-15 00:00:00, Success
GOES-15,2014-12-21 00:00:00, Success
GOES-15,2014-12-27 00:00:00, Success
GOES-13,2015-01-28 00:00:00, Success
GOES-13,2015-02-01 00:00:00, Success
GOES-13,2015-02-21 00:00:00, Success
GOES-13,2015-02-23 00:00:00, Success
GOES-13,2015-02-27 00:00:00, Success
GOES-13,2015-03-01 00:00:00, Success
GOES-13,2015-03-15 00:00:00, Success
GOES-13,2015-03-17 00:00:00, Success
GOES-13,2015-03-24 00:00:00, Success
GOES-13,2015-03-26 00:00:00, Success
GOES-13,2015-04-22 00:00:00, Success
GOES-13,2015-04-29 00:00:00, Success
GOES-13,2015-05-12 00:00:00, Success
GOES-13,2015-05-14 00:00:00, Success
GOES-13,2015-06-18 00:00:00, Success
GOES-13,2015-07-05 00:00:00, Success
GOES-13,2015-09-20 00:00:00, Success
GOES-13,2015-09-22 00:00:00, Success
GOES-13,2015-09-30 00:00:00, Success
GOES-13,2015-10-02 00:00:00, Success
GOES-13,2015-10-22 00:00:00, Success
GOES-13,2015-10-24 00:00:00, Success
GOES-13,2015-10-29 00:00:00, Success
GOES-13,2015-11-01 00:00:00, Success
GOES-13,2015-11-09 00:00:00, Success
GOES-13,2015-11-11 00:00:00, Success
GOES-13,2015-12-28 00:00:00, Success
GOES-13,2015-12-31 00:00:00, Success
GOES-13,2016-01-02 00:00:00, Success
GOES-13,2016-01-04 00:00:00, Success
GOES-13,2016-03-16 00:00:00, Success
GOES-13,2016-03-17 00:00:00, Success
GOES-13,2016-05-15 00:00:00, Success
GOES-13,2016-05-17 00:00:00, Success
GOES-13,2016-09-01 00:00:00, Success
GOES-13,2017-07-14 00:00:00, Success
GOES-13,2017-07-16 00:00:00, Success
GOES-13,2017-07-25 00:00:00, Success
GOES-13,2017-07-31 00:00:00, Success
GOES-13,2017-09-05 00:00:00, Success
