#Experiment,SEP Date,Exception
SEPMOD_1hr_DONKI,2011-06-07 00:00:00, Success
SEPMOD_multi_1hr_DONKI,2011-06-07 00:00:00, Success
SEPMOD_1hr_DONKI,2011-08-04 00:00:00, Success
SEPMOD_multi_1hr_DONKI,2011-08-04 00:00:00, Success
SEPMOD_1hr_DONKI,2012-01-24 00:00:00, Success
SEPMOD_multi_1hr_DONKI,2012-01-24 00:00:00, Success
SEPMOD_1hr_DONKI,2012-01-28 00:00:00, Success
SEPMOD_multi_1hr_DONKI,2012-01-27 00:00:00, Success
SEPMOD_1hr_DONKI,2012-03-09 00:00:00, Success
SEPMOD_1hr_DONKI,2012-03-13 00:00:00, Success
SEPMOD_multi_1hr_DONKI,2012-03-13 00:00:00,"You have selected to read a user-input input file with filename data/SEPMOD/SensitivityStudy/DONKI/1hr/20120313_multi_geo_integral_tseries_timestamped. This file is not found! Exiting."
SEPMOD_1hr_DONKI,2012-05-17 00:00:00, Success
SEPMOD_multi_1hr_DONKI,2012-05-17 00:00:00,"You have selected to read a user-input input file with filename data/SEPMOD/SensitivityStudy/DONKI/1hr/20120517_multi_geo_integral_tseries_timestamped. This file is not found! Exiting."
SEPMOD_1hr_DONKI,2013-04-12 00:00:00, Success
SEPMOD_1hr_DONKI,2013-05-22 00:00:00, Success
SEPMOD_multi_1hr_DONKI,2013-05-22 00:00:00, Success
SEPMOD_1hr_DONKI,2014-01-08 00:00:00, Success
SEPMOD_1hr_DONKI,2014-02-26 00:00:00, Success
SEPMOD_1hr_DONKI,2014-04-18 00:00:00, Success
SEPMOD_1hr_DONKI,2014-09-11 00:00:00, Success
SEPMOD_1hr_DONKI,2015-06-18 00:00:00, Success
SEPMOD_1hr_DONKI,2017-09-05 00:00:00, Success
SEPMOD_1hr_DONKI,2017-09-10 00:00:00, Success
