#Experiment,SEP Date,FirstStart,LastEnd,ShortEvent,LateHundred,Exception
SEPMOD_1hr_B,2011-06-07 00:00:00,False,False,False,False, 
SEPMOD_multi_1hr_B,2011-06-07 00:00:00,False,False,False,False, 
SEPMOD_1hr_B2AU,2011-06-07 00:00:00,False,False,False,False, 
SEPMOD_multi_1hr_B2AU,2011-06-07 00:00:00,False,False,False,False, 
SEPMOD_1hr_Bv10,2011-06-07 00:00:00,False,False,False,False, 
SEPMOD_multi_1hr_Bv10,2011-06-07 00:00:00,False,False,False,False, 
SEPMOD_1hr_B,2011-08-04 00:00:00,False,False,False,False, 
SEPMOD_multi_1hr_B,2011-08-03 00:00:00,False,False,False,False, 
SEPMOD_1hr_B2AU,2011-08-05 00:00:00,False,False,True,False, 
SEPMOD_multi_1hr_B2AU,2011-08-03 00:00:00,False,False,False,False, 
SEPMOD_1hr_Bv10,2011-08-04 00:00:00,False,False,False,False, 
SEPMOD_multi_1hr_Bv10,2011-08-03 00:00:00,False,False,False,False, 
SEPMOD_1hr_B,2012-01-23 00:00:00,False,False,False,False, 
SEPMOD_multi_1hr_B,2012-01-23 00:00:00,False,False,True,False, 
SEPMOD_1hr_B2AU,2012-01-24 00:00:00,False,False,True,False, 
SEPMOD_multi_1hr_B2AU,2012-01-24 00:00:00,False,False,True,False, 
SEPMOD_1hr_Bv10,2012-01-23 00:00:00,False,False,False,False, 
SEPMOD_multi_1hr_Bv10,2012-01-23 00:00:00,False,False,True,False, 
SEPMOD_1hr_B,2012-01-28 00:00:00,False,False,True,False, 
SEPMOD_multi_1hr_B,2012-01-28 00:00:00,False,False,True,False, 
SEPMOD_1hr_B2AU,2012-01-28 00:00:00,False,False,True,False, 
SEPMOD_multi_1hr_B2AU,2012-01-28 00:00:00,False,False,True,False, 
SEPMOD_1hr_Bv10,2012-01-27 00:00:00,False,False,True,False, 
SEPMOD_multi_1hr_Bv10,2012-01-28 00:00:00,False,False,True,False, 
