#Event defined by >100, 1 pfu; start time 2012-03-07 03:15:00, end time 2012-03-11 02:15:00
#Elow,Emid,Ehigh,Fluence 1/[MeV cm^2 sr]
4.2,6.044832503882965,8.7,87825452.69999997
8.7,11.231651704001509,14.5,22053913.921799984
15.0,24.49489742783178,40.0,8843016.489600023
38.0,55.82114294781145,82.0,1004359.6613400005
84.0,129.6148139681572,200.0,54450.058920000025
110.0,314.6426544510455,900.0,10392.208449300006
330.0,372.2902093797257,420.0,1143.2135099999962
420.0,462.81745861624535,510.0,535.156440000001
510.0,597.4947698515863,700.0,182.59436250000107
700.0,700.0,-1,40.21399455000002
