#Event defined by >10, 10 pfu; start time 2012-03-07 04:20:00, end time 2012-03-13 13:25:00
#Elow,Emid,Ehigh,Fluence 1/[MeV cm^2 sr]
5.0,6.012487006222966,7.23,116381610.0
7.23,8.696309562107366,10.46,54638529.0
10.46,12.575977099215791,15.12,26096853.0
15.12,18.184454899721356,21.87,11877573.300000003
21.87,26.29694659081164,31.62,4855673.639999992
31.62,38.0260778939927,45.73,1889402.2199999976
45.73,54.99204397001442,66.13,608080.3200000004
66.13,79.52781400239792,95.64,153759.37499999933
95.64,115.00874749339722,138.3,37619.96999999992
138.3,166.31295800387895,200.0,8209.14300000002
200.0,240.49948024891862,289.2,1855.344299999998
