#Event defined by >100, 1 pfu; start time 2012-05-17 02:00:00, end time 2012-05-18 04:55:00
#Elow,Emid,Ehigh,Fluence 1/[MeV cm^2 sr]
4.2,6.044832503882965,8.7,1913502.3039600009
8.7,11.231651704001509,14.5,422824.7278500002
15.0,24.49489742783178,40.0,174288.7307999999
38.0,55.82114294781145,82.0,24694.362869999975
84.0,129.6148139681572,200.0,2206.5188730000013
110.0,314.6426544510455,900.0,772.6291919999996
330.0,372.2902093797257,420.0,379.30956299999997
420.0,462.81745861624535,510.0,163.73967449999998
510.0,597.4947698515863,700.0,74.88714149999994
700.0,700.0,-1,17.53469250000002
