#Event defined by >100, 1 pfu; start time 2012-03-07 04:45:00, end time 2012-03-10 03:05:00
#Elow,Emid,Ehigh,Fluence 1/[MeV cm^2 sr]
5.0,6.012487006222966,7.23,110181756.0
7.23,8.696309562107366,10.46,51598299.0
10.46,12.575977099215791,15.12,24549938.7
15.12,18.184454899721356,21.87,11070439.5
21.87,26.29694659081164,31.62,4544375.7
31.62,38.0260778939927,45.73,1786404.3
45.73,54.99204397001442,66.13,579890.5499999999
66.13,79.52781400239792,95.64,147522.38999999975
95.64,115.00874749339722,138.3,36031.61999999993
138.3,166.31295800387895,200.0,7670.6700000000155
200.0,240.49948024891862,289.2,1653.8105999999982
